,group,user,task_id,puzzle_difficulty,completed,timestamp,active_time,percentileActiveTime,n_events,percentileEvents,n_check_solution,percentileAtt,percentileComposite,persistence,n_breaks,n_snapshot,n_rotate_view,n_manipulation_events,time_failed_submission_exit,avg_time_between_submissions,cum_weighted_difficulty_perc_composite,percentileCompositeAcrossAttempts,persistenceAcrossAttempts,cum_global_puzzle_attempts,cum_this_puzzle_attempt,cum_avg_perc_composite,cum_avg_persistence
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Pyramids are Strange~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Pyramids are Strange,0.1796,1.0,2019-11-22 13:05:51.345526-05:00,223.07,70.16,121.0,76.44,2.0,59.16,68.59,NO_BEHAVIOR,4.0,0.0,49.0,31.0,NA,110.43,58.44,72.0,NORMAL_PERSISTANCE,13.0,1,61.74,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 7.69, ""PRODUCTIVE_PERSISTANCE"": 15.38, ""UNPRODUCTIVE_PERSISTANCE"": 15.38, ""NO_BEHAVIOR"": 69.23}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Boxes Obscure Spheres~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Boxes Obscure Spheres,0.266198,1.0,2019-11-22 13:09:52.777248-05:00,89.06,24.87,38.0,25.91,1.0,31.09,27.29,NO_BEHAVIOR,1.0,0.0,9.0,12.0,NA,85.28,53.59,16.0,LESS_PERSISTANCE_THAN_NORMAL,15.0,1,55.33,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 6.67, ""PRODUCTIVE_PERSISTANCE"": 13.33, ""UNPRODUCTIVE_PERSISTANCE"": 13.33, ""NO_BEHAVIOR"": 66.67}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Object Limits~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Object Limits,0.257177,0.0,2019-11-22 13:11:21.475633-05:00,38.73,11.18,18.0,15.29,1.0,15.88,14.12,NON_PERSISTANT,0.0,0.0,0.0,10.0,3.71,22.17,48.43,8.0,LESS_PERSISTANCE_THAN_NORMAL,16.0,1,52.75,"{""NON_PERSISTANT "": 6.25, ""RAPID_SOLVER"": 6.25, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 62.5}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Object Limits~2,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Object Limits,0.257177,0.0,2019-11-22 13:12:02.696959-05:00,40.12,12.35,5.0,5.88,0.0,8.24,8.82,NON_PERSISTANT,1.0,0.0,0.0,0.0,NA,NA,43.86,4.0,LESS_PERSISTANCE_THAN_NORMAL,17.0,2,50.17,"{""NON_PERSISTANT "": 11.76, ""RAPID_SOLVER"": 5.88, ""PRODUCTIVE_PERSISTANCE"": 11.76, ""UNPRODUCTIVE_PERSISTANCE"": 11.76, ""NO_BEHAVIOR"": 58.82}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Warm Up~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Warm Up,0.183971,1.0,2019-11-22 13:12:44.710736-05:00,35.7,48.8,19.0,53.6,1.0,88.0,63.47,NO_BEHAVIOR,0.0,0.0,0.0,8.0,NA,27.72,45.35,64.0,NORMAL_PERSISTANCE,18.0,1,50.91,"{""NON_PERSISTANT "": 11.11, ""RAPID_SOLVER"": 5.56, ""PRODUCTIVE_PERSISTANCE"": 11.11, ""UNPRODUCTIVE_PERSISTANCE"": 11.11, ""NO_BEHAVIOR"": 61.11}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Angled Silhouette~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Angled Silhouette,0.147673,1.0,2019-11-22 13:13:15.449644-05:00,53.59,34.81,41.0,54.43,1.0,68.35,52.53,NO_BEHAVIOR,1.0,0.0,5.0,12.0,NA,51.91,45.77,52.0,NORMAL_PERSISTANCE,19.0,1,50.99,"{""NON_PERSISTANT "": 10.53, ""RAPID_SOLVER"": 5.26, ""PRODUCTIVE_PERSISTANCE"": 10.53, ""UNPRODUCTIVE_PERSISTANCE"": 10.53, ""NO_BEHAVIOR"": 63.16}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Sugar Cones~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Sugar Cones,0.085909,1.0,2019-11-22 13:15:49.163942-05:00,41.19,26.32,17.0,8.27,1.0,62.41,32.33,NO_BEHAVIOR,0.0,0.0,0.0,7.0,NA,21.77,45.33,24.0,LESS_PERSISTANCE_THAN_NORMAL,20.0,1,50.06,"{""NON_PERSISTANT "": 10.0, ""RAPID_SOLVER"": 5.0, ""PRODUCTIVE_PERSISTANCE"": 10.0, ""UNPRODUCTIVE_PERSISTANCE"": 10.0, ""NO_BEHAVIOR"": 65.0}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Stranger Shapes~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Stranger Shapes,0.283971,0.0,2019-11-22 13:16:25.742052-05:00,155.22,41.78,84.0,46.58,4.0,58.9,49.09,NO_BEHAVIOR,0.0,3.0,19.0,36.0,81.91,37.05,45.7,44.0,NORMAL_PERSISTANCE,21.0,1,50.01,"{""NON_PERSISTANT "": 9.52, ""RAPID_SOLVER"": 4.76, ""PRODUCTIVE_PERSISTANCE"": 9.52, ""UNPRODUCTIVE_PERSISTANCE"": 9.52, ""NO_BEHAVIOR"": 66.67}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Tall and Small~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Tall and Small,0.266869,0.0,2019-12-09 16:19:06.513669-05:00,372.99,83.19,132.0,79.83,4.0,63.87,75.63,UNPRODUCTIVE_PERSISTANCE,5.0,1.0,70.0,35.0,54.79,90.31,48.2,76.0,MORE_PERSISTANCE_THAN_NORMAL,23.0,1,48.95,"{""NON_PERSISTANT "": 8.7, ""RAPID_SOLVER"": 4.35, ""PRODUCTIVE_PERSISTANCE"": 8.7, ""UNPRODUCTIVE_PERSISTANCE"": 13.04, ""NO_BEHAVIOR"": 60.87}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Stranger Shapes~2,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Stranger Shapes,0.283971,1.0,2019-12-09 16:14:18.069342-05:00,280.36,68.49,118.0,65.75,4.0,58.9,64.38,NO_BEHAVIOR,4.0,0.0,51.0,40.0,NA,69.13,49.52,68.0,NORMAL_PERSISTANCE,22.0,2,54.1,"{""NON_PERSISTANT "": 9.09, ""RAPID_SOLVER"": 4.55, ""PRODUCTIVE_PERSISTANCE"": 9.09, ""UNPRODUCTIVE_PERSISTANCE"": 13.64, ""NO_BEHAVIOR"": 68.18}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~Ramp Up and Can It~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,Ramp Up and Can It,0.206271,0.0,2019-12-09 16:25:32.702049-05:00,239.85,82.46,42.0,59.65,9.0,96.49,79.53,UNPRODUCTIVE_PERSISTANCE,6.0,0.0,3.0,10.0,277.62,44.23,51.2,88.0,MORE_PERSISTANCE_THAN_NORMAL,24.0,1,52.91,"{""NON_PERSISTANT "": 8.33, ""RAPID_SOLVER"": 4.17, ""PRODUCTIVE_PERSISTANCE"": 8.33, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 62.5}"
e21640b4aea9349ad77d86d6017cb061~c4374012b768c14df138b56f25018b58~More Than Meets Your Eye~1,e21640b4aea9349ad77d86d6017cb061,c4374012b768c14df138b56f25018b58,More Than Meets Your Eye,0.192319,0.0,2019-12-09 16:32:37.489459-05:00,326.12,77.23,131.0,68.32,4.0,95.05,80.2,UNPRODUCTIVE_PERSISTANCE,4.0,0.0,2.0,59.0,398.46,99.47,52.64,92.0,MORE_PERSISTANCE_THAN_NORMAL,25.0,1,54.0,"{""NON_PERSISTANT "": 8.0, ""RAPID_SOLVER"": 4.0, ""PRODUCTIVE_PERSISTANCE"": 8.0, ""UNPRODUCTIVE_PERSISTANCE"": 20.0, ""NO_BEHAVIOR"": 60.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~1. One Box~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,1. One Box,2e-06,1.0,2019-11-18 16:14:31.507359-05:00,61.17,64.33,14.0,55.0,1.0,100.0,73.11,NO_BEHAVIOR,1.0,0.0,0.0,1.0,NA,37.0,73.11,76.47,MORE_PERSISTANCE_THAN_NORMAL,1.0,1,73.11,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~2. Separated Boxes~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,2. Separated Boxes,0.111127,1.0,2019-11-18 16:15:13.449465-05:00,110.66,71.94,42.0,71.58,2.0,62.95,68.82,NO_BEHAVIOR,1.0,0.0,0.0,17.0,NA,52.14,68.83,64.71,NORMAL_PERSISTANCE,2.0,1,70.97,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~3. Rotate a Pyramid~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,3. Rotate a Pyramid,0.083447,1.0,2019-11-18 16:17:03.068115-05:00,66.76,52.19,29.0,58.76,2.0,73.36,61.44,NO_BEHAVIOR,0.0,0.0,0.0,14.0,NA,31.67,65.66,52.94,NORMAL_PERSISTANCE,3.0,1,67.79,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~4. Match Silhouettes~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,4. Match Silhouettes,0.061887,1.0,2019-11-18 16:18:11.080546-05:00,101.23,63.43,46.0,67.16,2.0,79.48,70.02,NO_BEHAVIOR,1.0,0.0,0.0,27.0,NA,48.09,66.71,70.59,NORMAL_PERSISTANCE,4.0,1,68.35,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~5. Removing Objects~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,5. Removing Objects,0.106021,1.0,2019-11-18 16:19:51.979283-05:00,131.47,54.51,52.0,56.39,2.0,68.42,59.77,NO_BEHAVIOR,0.0,0.0,0.0,20.0,NA,62.4,64.68,41.18,NORMAL_PERSISTANCE,5.0,1,66.63,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~6. Stretch a Ramp~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,6. Stretch a Ramp,0.107035,1.0,2019-11-18 16:22:03.882710-05:00,85.96,43.03,40.0,47.13,2.0,70.08,53.42,NO_BEHAVIOR,0.0,0.0,0.0,22.0,NA,39.41,62.11,35.29,NORMAL_PERSISTANCE,6.0,1,64.43,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~7. Max 2 Boxes~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,7. Max 2 Boxes,0.078039,1.0,2019-11-18 16:23:29.538495-05:00,25.98,19.03,12.0,16.6,1.0,64.37,33.33,NO_BEHAVIOR,0.0,0.0,0.0,4.0,NA,19.17,58.01,23.53,LESS_PERSISTANCE_THAN_NORMAL,7.0,1,59.99,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~8. Combine 2 Ramps~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,8. Combine 2 Ramps,0.068608,1.0,2019-11-18 16:23:55.818104-05:00,259.99,89.59,110.0,85.97,3.0,95.93,90.5,PRODUCTIVE_PERSISTANCE,1.0,0.0,31.0,42.0,NA,84.08,61.63,94.12,MORE_PERSISTANCE_THAN_NORMAL,8.0,1,63.8,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 87.5}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~9. Scaling Round Objects~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,9. Scaling Round Objects,0.128647,1.0,2019-11-18 16:28:16.238048-05:00,859.73,99.07,381.0,99.07,2.0,69.44,89.2,PRODUCTIVE_PERSISTANCE,0.0,3.0,3.0,226.0,NA,426.41,66.39,82.35,MORE_PERSISTANCE_THAN_NORMAL,9.0,1,66.62,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 22.22, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 77.78}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Square Cross-Sections~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Square Cross-Sections,0.199714,0.0,2019-12-09 16:16:45.520145-05:00,218.64,66.52,128.0,76.21,2.0,63.0,68.58,NO_BEHAVIOR,1.0,0.0,5.0,77.0,1812653.3,-906323.69,66.85,58.82,NORMAL_PERSISTANCE,10.0,1,66.82,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 20.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 80.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Stranger Shapes~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Stranger Shapes,0.283971,0.0,2019-12-09 16:16:56.352992-05:00,118.4,30.82,86.0,47.26,1.0,23.97,34.02,NO_BEHAVIOR,0.0,0.0,4.0,58.0,4.26,108.66,59.26,29.41,NORMAL_PERSISTANCE,11.0,1,63.84,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 18.18, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 81.82}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Square Cross-Sections~2,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Square Cross-Sections,0.199714,0.0,2019-12-09 16:18:59.334041-05:00,18.51,7.05,4.0,5.29,0.0,14.1,8.81,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,52.21,11.76,LESS_PERSISTANCE_THAN_NORMAL,12.0,2,59.25,"{""NON_PERSISTANT "": 8.33, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 16.67, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 75.0}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Bear Market~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Bear Market,1.0,0.0,2019-12-09 16:19:11.207978-05:00,56.87,56.93,39.0,57.66,0.0,69.34,61.31,NO_BEHAVIOR,1.0,0.0,0.0,26.0,NA,NA,55.96,47.06,NORMAL_PERSISTANCE,13.0,1,59.41,"{""NON_PERSISTANT "": 7.69, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 15.38, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 76.92}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Sugar Cones~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Sugar Cones,0.085909,0.0,2019-12-09 16:20:06.837789-05:00,42.55,28.57,28.0,59.4,0.0,8.27,32.08,NO_BEHAVIOR,0.0,0.0,10.0,7.0,NA,NA,55.14,17.65,LESS_PERSISTANCE_THAN_NORMAL,14.0,1,57.46,"{""NON_PERSISTANT "": 7.14, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 14.29, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 78.57}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Square Cross-Sections~3,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Square Cross-Sections,0.199714,0.0,2019-12-09 16:20:52.574289-05:00,964.34,99.56,474.0,99.56,11.0,97.36,98.83,UNPRODUCTIVE_PERSISTANCE,0.0,0.0,92.0,218.0,621.34,85.9,58.36,100.0,MORE_PERSISTANCE_THAN_NORMAL,15.0,3,60.22,"{""NON_PERSISTANT "": 6.67, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 13.33, ""UNPRODUCTIVE_PERSISTANCE"": 6.67, ""NO_BEHAVIOR"": 73.33}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Bird Fez~1,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Bird Fez,0.156674,0.0,2019-12-09 16:36:53.114257-05:00,6.77,2.34,5.0,5.14,0.0,10.75,6.07,NON_PERSISTANT,0.0,0.0,0.0,0.0,NA,NA,55.5,5.88,LESS_PERSISTANCE_THAN_NORMAL,16.0,1,56.83,"{""NON_PERSISTANT "": 12.5, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 12.5, ""UNPRODUCTIVE_PERSISTANCE"": 6.25, ""NO_BEHAVIOR"": 68.75}"
e21640b4aea9349ad77d86d6017cb061~fa5c548b7886cc9a4a03da68cb414905~Square Cross-Sections~4,e21640b4aea9349ad77d86d6017cb061,fa5c548b7886cc9a4a03da68cb414905,Square Cross-Sections,0.199714,1.0,2019-12-09 16:36:59.725591-05:00,292.58,75.33,241.0,93.83,13.0,99.12,89.43,PRODUCTIVE_PERSISTANCE,0.0,0.0,32.0,94.0,NA,22.31,57.71,88.24,MORE_PERSISTANCE_THAN_NORMAL,17.0,4,58.75,"{""NON_PERSISTANT "": 11.76, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 17.65, ""UNPRODUCTIVE_PERSISTANCE"": 5.88, ""NO_BEHAVIOR"": 64.71}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~1. One Box~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,1. One Box,2e-06,1.0,2019-11-18 16:15:04.972910-05:00,37.69,44.67,13.0,52.0,1.0,100.0,65.56,NO_BEHAVIOR,0.0,0.0,0.0,3.0,NA,22.79,65.56,57.14,NORMAL_PERSISTANCE,1.0,1,65.56,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 100.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~2. Separated Boxes~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,2. Separated Boxes,0.111127,1.0,2019-11-18 16:15:32.065744-05:00,211.28,90.65,81.0,91.37,5.0,95.68,92.57,PRODUCTIVE_PERSISTANCE,1.0,0.0,0.0,31.0,NA,41.08,92.57,92.86,MORE_PERSISTANCE_THAN_NORMAL,2.0,1,79.06,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 50.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~3. Rotate a Pyramid~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,3. Rotate a Pyramid,0.083447,1.0,2019-11-18 16:19:11.574819-05:00,33.23,19.71,16.0,33.58,1.0,45.26,32.85,NO_BEHAVIOR,0.0,0.0,0.0,8.0,NA,20.55,66.95,21.43,LESS_PERSISTANCE_THAN_NORMAL,3.0,1,63.66,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 66.67}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~4. Match Silhouettes~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,4. Match Silhouettes,0.061887,1.0,2019-11-18 16:19:37.804411-05:00,82.84,56.34,34.0,61.94,2.0,79.48,65.92,NO_BEHAVIOR,0.0,0.0,0.0,19.0,NA,36.8,66.7,64.29,NORMAL_PERSISTANCE,4.0,1,64.22,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 75.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~5. Removing Objects~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,5. Removing Objects,0.106021,1.0,2019-11-18 16:20:59.986700-05:00,292.99,80.45,120.0,81.58,11.0,97.37,86.47,PRODUCTIVE_PERSISTANCE,0.0,0.0,0.0,28.0,NA,25.91,72.48,85.71,MORE_PERSISTANCE_THAN_NORMAL,5.0,1,68.67,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 40.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 60.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~6. Stretch a Ramp~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,6. Stretch a Ramp,0.107035,1.0,2019-11-18 16:25:52.996017-05:00,1198.29,100.0,534.0,100.0,16.0,99.59,99.86,PRODUCTIVE_PERSISTANCE,0.0,0.0,0.0,333.0,NA,74.58,78.73,100.0,MORE_PERSISTANCE_THAN_NORMAL,6.0,1,73.87,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 50.0, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 50.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~7. Max 2 Boxes~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,7. Max 2 Boxes,0.078039,1.0,2019-11-18 16:45:49.583034-05:00,13.24,3.64,17.0,33.6,1.0,64.37,33.87,NO_BEHAVIOR,0.0,0.0,0.0,9.0,NA,10.7,72.33,28.57,NORMAL_PERSISTANCE,7.0,1,68.16,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 42.86, ""UNPRODUCTIVE_PERSISTANCE"": 0, ""NO_BEHAVIOR"": 57.14}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~9. Scaling Round Objects~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,9. Scaling Round Objects,0.128647,0.0,2019-11-22 13:09:17.527133-05:00,225.8,75.0,98.0,74.54,8.0,98.15,82.56,UNPRODUCTIVE_PERSISTANCE,2.0,0.0,0.0,46.0,307.07,41.41,74.28,78.57,MORE_PERSISTANCE_THAN_NORMAL,8.0,1,69.96,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 37.5, ""UNPRODUCTIVE_PERSISTANCE"": 12.5, ""NO_BEHAVIOR"": 50.0}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~Square Cross-Sections~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,Square Cross-Sections,0.199714,0.0,2019-11-22 13:15:12.525579-05:00,134.95,45.37,49.0,45.81,4.0,82.38,57.86,NO_BEHAVIOR,0.0,0.0,0.0,20.0,90.95,30.39,70.53,42.86,NORMAL_PERSISTANCE,9.0,1,68.61,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 33.33, ""UNPRODUCTIVE_PERSISTANCE"": 11.11, ""NO_BEHAVIOR"": 55.56}"
e21640b4aea9349ad77d86d6017cb061~30bb014e5b15dd9fc656d307c2ac78af~Bird Fez~1,e21640b4aea9349ad77d86d6017cb061,30bb014e5b15dd9fc656d307c2ac78af,Bird Fez,0.156674,0.0,2019-12-09 16:21:50.225672-05:00,657.6,96.73,341.0,97.66,1.0,45.79,80.06,UNPRODUCTIVE_PERSISTANCE,3.0,2.0,0.0,161.0,2.43,37.3,71.98,71.43,NORMAL_PERSISTANCE,12.0,1,58.13,"{""NON_PERSISTANT "": 0, ""RAPID_SOLVER"": 0, ""PRODUCTIVE_PERSISTANCE"": 25.0, ""UNPRODUCTIVE_PERSISTANCE"": 16.67, ""NO_BEHAVIOR"": 41.67}"
